TestNumber,Principal,Operation,Resource,Granted,Milliseconds
1,Principal 0136,Operation 0010,Resource 14331,N,0.2976
2,Principal 0008,Operation 0006,Resource 4658,Y,0.007
3,Principal 0111,Operation 0002,Resource 11223,N,0.0006
4,Principal 0141,Operation 0004,Resource 0701,N,0.0038
5,Principal 0069,Operation 0006,Resource 11399,N,0.0006
6,Principal 0035,Operation 0007,Resource 0154,Y,0.0022
7,Principal 0021,Operation 0006,Resource 7479,Y,0.0022
8,Principal 0013,Operation 0002,Resource 10155,N,0.0006
9,Principal 0039,Operation 0001,Resource 9943,Y,0.0022
10,Principal 0002,Operation 0004,Resource 6412,Y,0.0019
11,Principal 0037,Operation 0010,Resource 6332,N,0.0012
12,Principal 0108,Operation 0009,Resource 10399,N,0.0006
13,Principal 0083,Operation 0003,Resource 8637,Y,0.0028
14,Principal 0043,Operation 0012,Resource 10759,N,0.0006
15,Principal 0106,Operation 0004,Resource 13834,N,0.0006
16,Principal 0144,Operation 0006,Resource 6590,N,0.0025
17,Principal 0022,Operation 0006,Resource 10604,N,0.0006
18,Principal 0046,Operation 0014,Resource 9239,N,0.0019
19,Principal 0012,Operation 0012,Resource 8659,N,0.0016
20,Principal 0042,Operation 0012,Resource 6052,N,0.0012
21,Principal 0097,Operation 0011,Resource 12918,N,0.0009
22,Principal 0048,Operation 0010,Resource 8648,N,0.0009
23,Principal 0094,Operation 0011,Resource 11946,N,0.0006
24,Principal 0010,Operation 0010,Resource 4021,N,0.0012
25,Principal 0065,Operation 0013,Resource 8651,N,0.0012
26,Principal 0117,Operation 0006,Resource 13588,N,0.0006
27,Principal 0113,Operation 0005,Resource 9782,N,0.0032
28,Principal 0034,Operation 0013,Resource 12279,N,0.0006
29,Principal 0108,Operation 0014,Resource 11315,N,0.0006
30,Principal 0121,Operation 0010,Resource 11910,N,0.0003
31,Principal 0018,Operation 0004,Resource 6161,Y,0.0019
32,Principal 0026,Operation 0009,Resource 1022,Y,0.0022
33,Principal 0128,Operation 0006,Resource 7960,N,0.0025
34,Principal 0052,Operation 0005,Resource 9381,Y,0.0025
35,Principal 0096,Operation 0002,Resource 11242,N,0.0003
36,Principal 0066,Operation 0013,Resource 1454,N,0.0012
37,Principal 0006,Operation 0005,Resource 6740,Y,0.0019
38,Principal 0101,Operation 0008,Resource 7365,N,0.0028
39,Principal 0112,Operation 0006,Resource 12978,N,0.0006
40,Principal 0007,Operation 0009,Resource 11330,N,0.0006
41,Principal 0123,Operation 0012,Resource 1366,N,0.0012
42,Principal 0001,Operation 0014,Resource 6067,N,0.0012
43,Principal 0128,Operation 0004,Resource 3326,N,0.0032
44,Principal 0076,Operation 0013,Resource 14901,N,0.0006
45,Principal 0056,Operation 0006,Resource 14342,N,0.0006
46,Principal 0004,Operation 0009,Resource 11776,N,0.0006
47,Principal 0011,Operation 0004,Resource 1077,Y,0.0019
48,Principal 0098,Operation 0011,Resource 5216,N,0.0009
49,Principal 0052,Operation 0007,Resource 11256,N,0.0003
50,Principal 0138,Operation 0006,Resource 3173,N,0.0025
51,Principal 0031,Operation 0012,Resource 11759,N,0.0006
52,Principal 0116,Operation 0008,Resource 7830,N,0.0028
53,Principal 0080,Operation 0009,Resource 1941,Y,0.0028
54,Principal 0052,Operation 0009,Resource 9126,Y,0.0022
55,Principal 0131,Operation 0008,Resource 5581,N,0.0025
56,Principal 0068,Operation 0005,Resource 1722,Y,0.0025
57,Principal 0080,Operation 0011,Resource 12649,N,0.0003
58,Principal 0012,Operation 0014,Resource 4780,N,0.0019
59,Principal 0102,Operation 0003,Resource 0770,N,0.0032
60,Principal 0111,Operation 0010,Resource 7592,N,0.0012
61,Principal 0098,Operation 0014,Resource 12615,N,0.0003
62,Principal 0002,Operation 0005,Resource 1680,Y,0.0016
63,Principal 0032,Operation 0009,Resource 13280,N,0.0003
64,Principal 0065,Operation 0007,Resource 14102,N,0.0006
65,Principal 0098,Operation 0011,Resource 10499,N,0.0006
66,Principal 0070,Operation 0011,Resource 3547,N,0.0012
67,Principal 0146,Operation 0013,Resource 2227,N,0.0012
68,Principal 0095,Operation 0006,Resource 10446,N,0.0006
69,Principal 0055,Operation 0002,Resource 12597,N,0.0006
70,Principal 0070,Operation 0002,Resource 5382,Y,0.0028
71,Principal 0071,Operation 0012,Resource 14742,N,0.0006
72,Principal 0093,Operation 0010,Resource 9661,N,0.0012
73,Principal 0115,Operation 0013,Resource 3374,N,0.0012
74,Principal 0039,Operation 0004,Resource 10444,N,0.0003
75,Principal 0035,Operation 0002,Resource 3484,Y,0.0022
76,Principal 0135,Operation 0006,Resource 3742,N,0.0032
77,Principal 0093,Operation 0004,Resource 5740,Y,0.0032
78,Principal 0122,Operation 0011,Resource 11534,N,0.0003
79,Principal 0054,Operation 0001,Resource 8289,Y,0.0022
80,Principal 0022,Operation 0009,Resource 2744,Y,0.0019
81,Principal 0041,Operation 0011,Resource 7621,N,0.0009
82,Principal 0079,Operation 0014,Resource 10520,N,0.0006
83,Principal 0143,Operation 0001,Resource 0497,N,0.0032
84,Principal 0009,Operation 0010,Resource 13757,N,0.0006
85,Principal 0002,Operation 0011,Resource 9635,N,0.0012
86,Principal 0068,Operation 0006,Resource 4264,Y,0.0025
87,Principal 0070,Operation 0007,Resource 10474,N,0.0006
88,Principal 0088,Operation 0012,Resource 13075,N,0.0006
89,Principal 0146,Operation 0010,Resource 0352,N,0.0012
90,Principal 0032,Operation 0004,Resource 10089,N,0.0006
91,Principal 0014,Operation 0009,Resource 3345,Y,0.0022
92,Principal 0007,Operation 0014,Resource 7534,N,0.0012
93,Principal 0029,Operation 0010,Resource 2059,N,0.0012
94,Principal 0080,Operation 0014,Resource 5881,N,0.0009
95,Principal 0033,Operation 0008,Resource 7861,Y,0.0025
96,Principal 0070,Operation 0012,Resource 0779,N,0.0016
97,Principal 0019,Operation 0013,Resource 9182,N,0.0016
98,Principal 0040,Operation 0010,Resource 2655,N,0.0012
99,Principal 0073,Operation 0010,Resource 13464,N,0.0006
100,Principal 0095,Operation 0008,Resource 4615,Y,0.0028
101,Principal 0102,Operation 0011,Resource 11503,N,0.0006
102,Principal 0054,Operation 0014,Resource 1100,N,0.0012
103,Principal 0104,Operation 0014,Resource 10916,N,0.0006
104,Principal 0021,Operation 0004,Resource 10551,N,0.0006
105,Principal 0022,Operation 0014,Resource 7790,N,0.0012
106,Principal 0046,Operation 0006,Resource 4256,Y,0.0022
107,Principal 0052,Operation 0008,Resource 12786,N,0.0006
108,Principal 0145,Operation 0002,Resource 5400,N,0.0028
109,Principal 0010,Operation 0012,Resource 14136,N,0.0006
110,Principal 0007,Operation 0008,Resource 4593,Y,0.0019
111,Principal 0091,Operation 0008,Resource 2286,Y,0.0028
112,Principal 0124,Operation 0012,Resource 3034,N,0.0012
113,Principal 0094,Operation 0012,Resource 8977,N,0.0012
114,Principal 0068,Operation 0011,Resource 12509,N,0.0006
115,Principal 0049,Operation 0014,Resource 9625,N,0.0012
116,Principal 0136,Operation 0002,Resource 11205,N,0.0003
117,Principal 0098,Operation 0003,Resource 4614,Y,0.0025
118,Principal 0092,Operation 0005,Resource 0598,Y,0.0028
119,Principal 0068,Operation 0010,Resource 9843,N,0.0009
120,Principal 0061,Operation 0005,Resource 2118,Y,0.0025
121,Principal 0020,Operation 0010,Resource 6182,N,0.0012
122,Principal 0063,Operation 0008,Resource 10680,N,0.0003
123,Principal 0083,Operation 0005,Resource 1207,Y,0.0025
124,Principal 0048,Operation 0010,Resource 7776,N,0.0012
125,Principal 0103,Operation 0013,Resource 11090,N,0.0003
126,Principal 0003,Operation 0010,Resource 1512,N,0.0012
127,Principal 0108,Operation 0003,Resource 10529,N,0.0006
128,Principal 0030,Operation 0006,Resource 5684,Y,0.0022
129,Principal 0149,Operation 0014,Resource 3949,N,0.0009
130,Principal 0017,Operation 0006,Resource 2198,Y,0.0022
131,Principal 0082,Operation 0004,Resource 8336,Y,0.0028
132,Principal 0069,Operation 0005,Resource 1847,Y,0.0025
133,Principal 0063,Operation 0013,Resource 6767,N,0.0012
134,Principal 0139,Operation 0006,Resource 12056,N,0.0006
135,Principal 0100,Operation 0005,Resource 7460,N,0.0035
136,Principal 0118,Operation 0013,Resource 5877,N,0.0012
137,Principal 0045,Operation 0007,Resource 0887,Y,0.0022
138,Principal 0083,Operation 0010,Resource 2224,N,0.0016
139,Principal 0066,Operation 0014,Resource 3897,N,0.0012
140,Principal 0005,Operation 0006,Resource 8169,Y,0.0019
141,Principal 0067,Operation 0007,Resource 14146,N,0.0006
142,Principal 0140,Operation 0011,Resource 6943,N,0.0009
